#line-id,line-code,direction,stop-order,stop-id,frequency,arrival_time,departure_time
1,1H,>,1;2;3;4;5;6;7;8;9,1;2;3;8;13;18;23;24;25,3,0;6;12;18;24;30;36;42;48,0;6;12;18;24;30;36;42;48
1,1R,<,1;2;3;4;5;6;7;8;9,25;24;23;18;13;8;3;2;1,3,18;24;30;36;42;48;54;0;6,18;24;30;36;42;48;54;0;6
2,2H,>,1;2;3;4;5;6;7,6;7;8;13;18;19;20,3,9;15;21;27;33;39;45,9;15;21;27;33;39;45
2,2R,<,1;2;3;4;5;6;7,20;19;18;13;8;7;6,3,12;18;24;30;36;44;50,12;18;24;30;38;44;50
3,3H,>,1;2;3;4;5,11;12;13;14;15,3,46;52;58;4;10,46;52;58;4;10
3,3R,<,1;2;3;4;5,15;14;13;12;11,3,26;32;38;44;50,26;32;38;44;50
4,4H,>,1;2;3;4;5;6;7,16;17;18;13;8;9;10,3,35;41;47;53;59;5;11,35;41;47;53;59;5;11
4,4R,<,1;2;3;4;5;6;7,10;9;8;13;18;17;16,3,3;9;15;21;27;33;39,3;9;15;21;27;33;39
5,5H,>,1;2;3;4;5;6;7;8;9,21;22;23;18;13;8;3;4;5,3,21;27;33;44;55;4;10;16;22,21;27;36;47;58;4;10;16;22
5,5R,<,1;2;3;4;5;6;7;8;9,5;4;3;8;13;18;23;22;21,3,17;23;29;35;41;47;53;59;5,17;23;29;35;41;47;53;59;5
6,6H,>,1;2;3;4;5,1;2;3;8;13,3,11;17;23;29;37,11;17;23;29;37
6,6R,<,1;2;3;4;5,13;8;3;2;1,3,41;47;53;59;5,41;47;53;59;5
