#line-id,line-code,direction,stop-order,stop-id,frequency,arrival_time,departure_time
1,1H,>,1;2;3;4;5,1;2;3;4;5,6,0;6;12;18;24,0;6;12;18;24
1,1R,<,1;2;3;4;5,5;4;3;2;1,6,40;46;52;58;4,40;46;52;58;4
2,2H,>,1;2;3;4;5,6;7;8;9;10,3,1;7;13;19;25,1;7;13;19;25
2,2R,<,1;2;3;4;5,10;9;8;7;6,3,26;32;38;44;50,26;32;38;44;50
3,3H,>,1;2;3;4;5,11;12;13;14;15,3,48;54;60;7;13,48;54;1;7;13
3,3R,<,1;2;3;4;5,15;14;13;12;11,3,43;49;55;1;7,43;49;55;1;7
4,4H,>,1;2;3;4;5,16;17;18;19;20,3,37;43;49;55;1,37;43;49;55;1
4,4R,<,1;2;3;4;5,20;19;18;17;16,3,17;23;29;35;41,17;23;29;35;41
5,5H,>,1;2;3;4;5,21;22;23;24;25,3,1;7;13;19;25,1;7;13;19;25
5,5R,<,1;2;3;4;5,25;24;23;22;21,3,6;12;18;24;30,6;12;18;24;30
8,8H,>,1;2;3;4;5,3;8;13;18;23,12,55;1;8;14;20,55;1;8;14;20
8,8R,<,1;2;3;4;5,23;18;13;8;3,12,36;42;48;56;2,36;42;50;56;2
