#line-id,line-code,direction,stop-order,stop-id,frequency,arrival_time,departure_time
1,1H,>,1;2;3;4;5;6,15;14;13;12;17;18,1,0;6;12;18;24;30,0;6;12;18;24;30
1,1R,<,1;2;3;4;5;6,18;17;12;13;14;15,1,30;36;42;48;54;0,30;36;42;48;54;0
2,2H,>,1;2;3;4;5;6,3;8;9;10;15;20,1,51;57;3;9;15;21,51;57;3;9;15;21
2,2R,<,1;2;3;4;5;6,20;15;10;9;8;3,1,21;27;33;39;45;51,21;27;33;39;45;51
3,3H,>,1;2;3;4;5;6,4;3;2;7;12;13,1,42;48;54;0;6;12,42;48;54;0;6;12
3,3R,<,1;2;3;4;5;6,13;12;7;2;3;4,1,12;18;24;30;36;42,12;18;24;30;36;42
4,4H,>,1;2;3;4;5;6,5;4;9;14;19;18,1,54;0;6;12;18;24,54;0;6;12;18;24
4,4R,<,1;2;3;4;5;6,18;19;14;9;4;5,1,24;30;36;42;48;54,24;30;36;42;48;54
5,5H,>,1;2;3;4;5;6,25;24;23;22;21;16,1,21;27;33;39;45;51,21;27;33;39;45;51
5,5R,<,1;2;3;4;5;6,16;21;22;23;24;25,1,51;57;3;9;15;21,51;57;3;9;15;21
6,6H,>,1;2;3;4;5;6,1;2;7;12;13;8,1,18;24;30;36;42;48,18;24;30;36;42;48
6,6R,<,1;2;3;4;5;6,8;13;12;7;2;1,1,48;54;0;6;12;18,48;54;0;6;12;18
7,7H,>,1;2;3;4;5;6,7;8;13;14;19;24,1,54;0;6;12;18;24,54;0;6;12;18;24
7,7R,<,1;2;3;4;5;6,24;19;14;13;8;7,1,24;30;36;42;48;54,24;30;36;42;48;54
8,8H,>,1;2;3;4;5;6,24;25;20;19;18;13,1,39;45;51;57;3;9,39;45;51;57;3;9
8,8R,<,1;2;3;4;5;6,13;18;19;20;25;24,1,9;15;21;27;33;39,9;15;21;27;33;39
9,9H,>,1;2;3;4;5;6,8;9;14;13;12;7,1,15;21;27;33;39;45,15;21;27;33;39;45
9,9R,<,1;2;3;4;5;6,7;12;13;14;9;8,1,45;51;57;3;9;15,45;51;57;3;9;15
10,10H,>,1;2;3;4;5;6,6;7;8;13;18;17,1,36;42;48;54;0;6,36;42;48;54;0;6
10,10R,<,1;2;3;4;5;6,17;18;13;8;7;6,1,6;12;18;24;30;36,6;12;18;24;30;36
11,11H,>,1;2;3;4;5;6,3;2;1;6;11;12,1,33;39;45;51;57;3,33;39;45;51;57;3
11,11R,<,1;2;3;4;5;6,12;11;6;1;2;3,1,3;9;15;21;27;33,3;9;15;21;27;33
12,12H,>,1;2;3;4;5;6,16;11;12;13;18;23,1,57;3;9;15;21;27,57;3;9;15;21;27
12,12R,<,1;2;3;4;5;6,23;18;13;12;11;16,1,27;33;39;45;51;57,27;33;39;45;51;57
13,13H,>,1;2;3;4;5;6,1;2;7;12;17;22,1,30;36;42;48;54;0,30;36;42;48;54;0
13,13R,<,1;2;3;4;5;6,22;17;12;7;2;1,1,0;6;12;18;24;30,0;6;12;18;24;30
