#line-id;line-code;direction;edge-order;edge-id;frequency;departure_time;arrival_time
1;1H;>;['1', '2', '3', '4', '5'];['1', '2', '3', '4', '5'];5;['0', '6', '12', '18', '24'];['0', '6', '12', '18', '24']
1;1R;<;['1', '2', '3', '4', '5'];['5', '4', '3', '2', '1'];5;['3', '9', '15', '21', '27'];['3', '9', '15', '21', '27']
2;2H;>;['1', '2', '3', '4', '5'];['6', '7', '8', '9', '10'];3;['9', '15', '21', '27', '33'];['9', '15', '21', '27', '33']
2;2R;<;['1', '2', '3', '4', '5'];['10', '9', '8', '7', '6'];3;['9', '15', '21', '27', '33'];['9', '15', '21', '27', '33']
3;3H;>;['1', '2', '3', '4', '5'];['11', '12', '13', '14', '15'];3;['0', '6', '12', '19', '25'];['0', '6', '13', '19', '25']
3;3R;<;['1', '2', '3', '4', '5'];['15', '14', '13', '12', '11'];3;['15', '21', '27', '33', '39'];['15', '21', '27', '33', '39']
4;4H;>;['1', '2', '3', '4', '5'];['16', '17', '18', '19', '20'];3;['6', '12', '18', '24', '30'];['6', '12', '18', '24', '30']
4;4R;<;['1', '2', '3', '4', '5'];['20', '19', '18', '17', '16'];3;['11', '17', '23', '29', '35'];['11', '17', '23', '29', '35']
5;5H;>;['1', '2', '3', '4', '5'];['21', '22', '23', '24', '25'];3;['3', '9', '15', '21', '27'];['3', '9', '15', '21', '27']
5;5R;<;['1', '2', '3', '4', '5'];['25', '24', '23', '22', '21'];3;['19', '25', '31', '37', '43'];['19', '25', '31', '37', '43']
8;8H;>;['1', '2', '3', '4', '5'];['3', '8', '13', '18', '23'];11;['3', '9', '15', '21', '27'];['3', '9', '15', '21', '27']
8;8R;<;['1', '2', '3', '4', '5'];['23', '18', '13', '8', '3'];11;['4', '10', '19', '26', '32'];['4', '11', '20', '26', '32']
