#line-id;line-code;direction;stop-order;stop-id;frequency;departure_time;arrival_time
10;10H;>;['1', '2', '3', '4', '5', '6'];['20', '19', '18', '13', '14', '15'];1;['21', '27', '33', '39', '45', '51'];['21', '27', '33', '39', '45', '51']
10;10R;<;['1', '2', '3', '4', '5', '6'];['15', '14', '13', '18', '19', '20'];1;['21', '27', '33', '39', '45', '51'];['21', '27', '33', '39', '45', '51']
19;19H;>;['1', '2', '3', '4', '5'];['1', '2', '3', '8', '13'];5;['1', '7', '13', '19', '27'];['1', '7', '13', '19', '27']
19;19R;<;['1', '2', '3', '4', '5'];['13', '8', '3', '2', '1'];5;['3', '9', '15', '21', '27'];['3', '9', '15', '21', '27']
23;23H;>;['1', '2'];['13', '18'];2;['15', '23'];['15', '23']
23;23R;<;['1', '2'];['18', '13'];2;['15', '21'];['15', '21']
24;24H;>;['1', '2'];['8', '13'];4;['0', '6'];['0', '6']
24;24R;<;['1', '2'];['13', '8'];4;['13', '19'];['13', '19']
2;2H;>;['1', '2', '3', '4', '5', '6', '7', '8', '9', '10', '11'];['25', '24', '23', '22', '21', '16', '17', '18', '13', '14', '15'];2;['0', '6', '12', '18', '24', '30', '36', '42', '48', '54', '0'];['0', '6', '12', '18', '24', '30', '36', '42', '48', '54', '0']
2;2R;<;['1', '2', '3', '4', '5', '6', '7', '8', '9', '10', '11'];['15', '14', '13', '18', '17', '16', '21', '22', '23', '24', '25'];2;['9', '15', '21', '28', '34', '40', '46', '52', '58', '4', '10'];['9', '15', '22', '28', '34', '40', '46', '52', '58', '4', '10']
3;3H;>;['1', '2', '3', '4', '5', '6', '7', '8', '9', '10', '11'];['20', '19', '18', '13', '12', '11', '6', '7', '8', '9', '10'];3;['6', '12', '18', '24', '30', '36', '42', '48', '54', '0', '6'];['6', '12', '18', '24', '30', '36', '42', '48', '54', '0', '6']
3;3R;<;['1', '2', '3', '4', '5', '6', '7', '8', '9', '10', '11'];['10', '9', '8', '7', '6', '11', '12', '13', '18', '19', '20'];3;['10', '16', '22', '28', '34', '40', '46', '52', '58', '4', '10'];['10', '16', '22', '28', '34', '40', '46', '52', '58', '4', '10']
5;5H;>;['1', '2', '3', '4', '5', '6', '7'];['11', '12', '13', '8', '3', '4', '5'];2;['12', '18', '24', '30', '36', '42', '48'];['12', '18', '24', '30', '36', '42', '48']
5;5R;<;['1', '2', '3', '4', '5', '6', '7'];['5', '4', '3', '8', '13', '12', '11'];2;['24', '30', '36', '42', '48', '54', '0'];['24', '30', '36', '42', '48', '54', '0']
8;8H;>;['1', '2', '3', '4', '5', '6'];['25', '24', '23', '18', '19', '20'];3;['17', '23', '29', '35', '41', '47'];['17', '23', '29', '35', '41', '47']
8;8R;<;['1', '2', '3', '4', '5', '6'];['20', '19', '18', '23', '24', '25'];3;['9', '15', '21', '27', '33', '39'];['9', '15', '21', '27', '33', '39']
9;9H;>;['1', '2', '3', '4', '5', '6'];['25', '24', '23', '18', '17', '16'];1;['21', '27', '33', '39', '45', '51'];['21', '27', '33', '39', '45', '51']
9;9R;<;['1', '2', '3', '4', '5', '6'];['16', '17', '18', '23', '24', '25'];1;['21', '27', '33', '39', '45', '51'];['21', '27', '33', '39', '45', '51']
