#line-id,line-code,direction,stop-order,stop-id,frequency,arrival_time,departure_time
1,1H,>,1;2;3;4;5;6;7;8;9,21;22;23;24;19;14;9;10;5,1,0;6;12;18;24;30;36;42;48,0;6;12;18;24;30;36;42;48
1,1R,<,1;2;3;4;5;6;7;8;9,5;10;9;14;19;24;23;22;21,1,0;6;12;18;24;30;36;42;48,0;6;12;18;24;30;36;42;48
2,2H,>,1;2;3;4;5;6;7;8;9,1;2;3;4;9;14;19;20;25,1,9;15;21;27;33;39;45;51;57,9;15;21;27;33;39;45;51;57
2,2R,<,1;2;3;4;5;6;7;8;9,25;20;19;14;9;4;3;2;1,1,9;15;21;27;33;39;45;51;57,9;15;21;27;33;39;45;51;57
4,4H,>,1;2;3;4;5;6;7;8,6;11;16;17;18;19;20;25,1,12;18;24;30;36;42;48;54,12;18;24;30;36;42;48;54
4,4R,<,1;2;3;4;5;6;7;8,25;20;19;18;17;16;11;6,1,12;18;24;30;36;42;48;54,12;18;24;30;36;42;48;54
23,23H,>,1;2;3;4;5;6,10;15;14;13;12;11,1,57;3;9;15;21;27,57;3;9;15;21;27
23,23R,<,1;2;3;4;5;6,11;12;13;14;15;10,1,27;33;39;45;51;57,27;33;39;45;51;57
25,25H,>,1;2;3;4;5;6,3;8;7;12;17;22,1,6;12;18;24;30;36,6;12;18;24;30;36
25,25R,<,1;2;3;4;5;6,22;17;12;7;8;3,1,36;42;48;54;0;6,36;42;48;54;0;6
34,34H,>,1;2;3;4;5;6,2;3;8;13;18;19,1,45;51;57;3;9;15,45;51;57;3;9;15
34,34R,<,1;2;3;4;5;6,19;18;13;8;3;2,1,15;21;27;33;39;45,15;21;27;33;39;45
37,37H,>,1;2;3;4;5,8;13;14;15;20,1,42;48;54;0;6,42;48;54;0;6
37,37R,<,1;2;3;4;5,20;15;14;13;8,1,12;18;24;30;36,12;18;24;30;36
57,57H,>,1;2;3;4;5;6;7,18;13;12;11;6;1;2,1,30;36;42;48;54;0;6,30;36;42;48;54;0;6
57,57R,<,1;2;3;4;5;6;7,2;1;6;11;12;13;18,1,30;36;42;48;54;0;6,30;36;42;48;54;0;6
72,72H,>,1;2;3;4;5;6,15;14;13;8;7;2,1,48;54;0;6;12;18,48;54;0;6;12;18
72,72R,<,1;2;3;4;5;6,2;7;8;13;14;15,1,18;24;30;36;42;48,18;24;30;36;42;48
99,99H,>,1;2;3;4;5;6;7;8;9,1;2;3;8;13;18;23;24;25,2,39;45;51;57;3;9;15;21;27,39;45;51;57;3;9;15;21;27
99,99R,<,1;2;3;4;5;6;7;8;9,25;24;23;18;13;8;3;2;1,2,39;45;51;57;3;9;15;21;27,39;45;51;57;3;9;15;21;27
100,100H,>,1;2;3;4;5;6;7,6;7;8;13;18;19;20,1,27;33;39;45;51;57;3,27;33;39;45;51;57;3
100,100R,<,1;2;3;4;5;6;7,20;19;18;13;8;7;6,1,27;33;39;45;51;57;3,27;33;39;45;51;57;3
102,102H,>,1;2;3;4;5;6;7,16;17;18;13;8;9;10,2,48;54;0;6;12;18;24,48;54;0;6;12;18;24
102,102R,<,1;2;3;4;5;6;7,10;9;8;13;18;17;16,2,48;54;0;6;12;18;24,48;54;0;6;12;18;24
103,103H,>,1;2;3;4;5;6;7;8;9,21;22;23;18;13;8;3;4;5,1,48;54;0;6;12;18;24;30;36,48;54;0;6;12;18;24;30;36
103,103R,<,1;2;3;4;5;6;7;8;9,5;4;3;8;13;18;23;22;21,1,48;54;0;6;12;18;24;30;36,48;54;0;6;12;18;24;30;36
