#line-id,line-code,direction,stop-order,stop-id,frequency,arrival_time,departure_time
1,1H,>,1;2;3;4;5,1;2;3;4;5,5,0;6;12;18;24,0;6;12;18;24
1,1R,<,1;2;3;4;5,5;4;3;2;1,5,0;6;12;18;24,0;6;12;18;24
2,2H,>,1;2;3;4;5,6;7;8;9;10,3,18;24;30;36;42,18;24;30;36;42
2,2R,<,1;2;3;4;5,10;9;8;7;6,3,18;24;30;36;42,18;24;30;36;42
3,3H,>,1;2;3;4;5,11;12;13;14;15,6,2;8;14;20;26,2;8;14;20;26
3,3R,<,1;2;3;4;5,15;14;13;12;11,6,4;10;16;22;28,4;10;16;22;28
4,4H,>,1;2;3;4;5,16;17;18;19;20,3,4;10;16;22;28,4;10;16;22;28
4,4R,<,1;2;3;4;5,20;19;18;17;16,3,2;8;14;20;26,2;8;14;20;26
5,5H,>,1;2;3;4;5,21;22;23;24;25,3,16;22;28;34;40,16;22;28;34;40
5,5R,<,1;2;3;4;5,25;24;23;22;21,3,4;10;16;22;28,4;10;16;22;28
6,6H,>,1;2;3;4;5,1;6;11;16;21,1,33;39;45;51;57,33;39;45;51;57
6,6R,<,1;2;3;4;5,21;16;11;6;1,1,33;39;45;51;57,33;39;45;51;57
7,7H,>,1;2;3;4;5,2;7;12;17;22,3,13;19;25;31;39,13;19;25;33;39
7,7R,<,1;2;3;4;5,22;17;12;7;2,3,11;17;23;29;35,11;17;23;29;35
8,8H,>,1;2;3;4;5,3;8;13;18;23,8,3;9;15;21;27,3;9;15;21;27
8,8R,<,1;2;3;4;5,23;18;13;8;3,8,4;10;16;24;30,4;10;18;24;30
9,9H,>,1;2;3;4;5,4;9;14;19;24,3,1;7;13;19;25,1;7;13;19;25
9,9R,<,1;2;3;4;5,24;19;14;9;4,3,13;19;25;31;37,13;19;25;31;37
10,10H,>,1;2;3;4;5,5;10;15;20;25,1,33;39;45;51;57,33;39;45;51;57
10,10R,<,1;2;3;4;5,25;20;15;10;5,1,30;36;45;51;57,30;39;45;51;57
