#line-id;line-code;direction;edge-order;edge-id;frequency;departure_time;arrival_time
1;1H;>;['1', '2', '3', '4', '5', '6', '7', '8', '9'];['1', '2', '3', '8', '13', '18', '23', '24', '25'];3;['0', '6', '12', '18', '24', '30', '36', '42', '48'];['0', '6', '12', '18', '24', '30', '36', '42', '48']
1;1R;<;['1', '2', '3', '4', '5', '6', '7', '8', '9'];['25', '24', '23', '18', '13', '8', '3', '2', '1'];3;['9', '15', '21', '27', '33', '39', '45', '51', '57'];['9', '15', '21', '27', '33', '39', '45', '51', '57']
2;2H;>;['1', '2', '3', '4', '5', '6', '7'];['1', '2', '3', '8', '13', '18', '23'];3;['0', '6', '12', '18', '24', '30', '38'];['0', '6', '12', '18', '24', '30', '38']
2;2R;<;['1', '2', '3', '4', '5', '6', '7'];['23', '18', '13', '8', '3', '2', '1'];3;['7', '13', '19', '25', '31', '37', '43'];['7', '13', '19', '25', '31', '37', '43']
3;3H;>;['1', '2', '3', '4', '5', '6', '7'];['6', '7', '12', '13', '14', '19', '20'];3;['18', '24', '30', '36', '42', '48', '54'];['18', '24', '30', '36', '42', '48', '54']
3;3R;<;['1', '2', '3', '4', '5', '6', '7'];['20', '19', '14', '13', '12', '7', '6'];3;['18', '24', '30', '36', '42', '48', '54'];['18', '24', '30', '36', '42', '48', '54']
4;4H;>;['1', '2', '3', '4', '5', '6', '7', '8', '9'];['15', '10', '9', '14', '13', '12', '17', '16', '11'];3;['4', '10', '16', '22', '28', '34', '40', '46', '52'];['4', '10', '16', '22', '28', '34', '40', '46', '52']
4;4R;<;['1', '2', '3', '4', '5', '6', '7', '8', '9'];['11', '16', '17', '12', '13', '14', '9', '10', '15'];3;['6', '12', '18', '24', '30', '36', '42', '48', '54'];['6', '12', '18', '24', '30', '36', '42', '48', '54']
5;5H;>;['1', '2', '3', '4', '5', '6', '7', '8', '9'];['5', '4', '9', '8', '13', '18', '17', '22', '21'];3;['7', '13', '19', '25', '31', '37', '43', '49', '55'];['7', '13', '19', '25', '31', '37', '43', '49', '55']
5;5R;<;['1', '2', '3', '4', '5', '6', '7', '8', '9'];['21', '22', '17', '18', '13', '8', '9', '4', '5'];3;['9', '15', '21', '27', '33', '39', '47', '53', '59'];['9', '15', '21', '27', '33', '41', '47', '53', '59']
