#line-id;line-code;direction;stop-order;stop-id;frequency;departure_time;arrival_time
15;15H;>;['1', '2', '3', '4', '5', '6'];['14', '13', '8', '3', '4', '9'];1;['30', '36', '42', '48', '54', '0'];['30', '36', '42', '48', '54', '0']
15;15R;<;['1', '2', '3', '4', '5', '6'];['9', '4', '3', '8', '13', '14'];1;['30', '36', '42', '48', '54', '0'];['30', '36', '42', '48', '54', '0']
30;30H;>;['1', '2', '3', '4', '5', '6', '7', '8', '9'];['1', '2', '3', '8', '13', '18', '23', '24', '25'];3;['1', '7', '13', '19', '25', '31', '37', '43', '49'];['1', '7', '13', '19', '25', '31', '37', '43', '49']
30;30R;<;['1', '2', '3', '4', '5', '6', '7', '8', '9'];['25', '24', '23', '18', '13', '8', '3', '2', '1'];3;['14', '20', '26', '32', '40', '46', '52', '58', '4'];['14', '20', '26', '32', '40', '46', '52', '58', '4']
31;31H;>;['1', '2', '3', '4', '5', '6', '7'];['1', '2', '3', '8', '13', '18', '23'];1;['24', '30', '36', '42', '48', '54', '0'];['24', '30', '36', '42', '48', '54', '0']
31;31R;<;['1', '2', '3', '4', '5', '6', '7'];['23', '18', '13', '8', '3', '2', '1'];1;['19', '25', '31', '37', '43', '49', '0'];['19', '25', '31', '37', '43', '52', '0']
32;32H;>;['1', '2', '3', '4', '5', '6', '7'];['6', '7', '12', '13', '14', '19', '20'];2;['0', '6', '12', '18', '24', '30', '36'];['0', '6', '12', '18', '24', '30', '36']
32;32R;<;['1', '2', '3', '4', '5', '6', '7'];['20', '19', '14', '13', '12', '7', '6'];2;['28', '34', '40', '46', '52', '58', '4'];['28', '34', '40', '46', '52', '58', '4']
33;33H;>;['1', '2', '3', '4', '5', '6', '7', '8', '9'];['15', '10', '9', '14', '13', '12', '17', '16', '11'];3;['18', '24', '30', '36', '42', '48', '54', '1', '7'];['18', '24', '30', '36', '42', '48', '55', '1', '7']
33;33R;<;['1', '2', '3', '4', '5', '6', '7', '8', '9'];['11', '16', '17', '12', '13', '14', '9', '10', '15'];3;['17', '23', '29', '35', '41', '47', '53', '59', '5'];['17', '23', '29', '35', '41', '47', '53', '59', '5']
34;34H;>;['1', '2', '3', '4', '5', '6', '7', '8', '9'];['5', '4', '9', '8', '13', '18', '17', '22', '21'];2;['25', '31', '37', '43', '49', '55', '1', '7', '13'];['25', '31', '37', '43', '49', '55', '1', '7', '13']
34;34R;<;['1', '2', '3', '4', '5', '6', '7', '8', '9'];['21', '22', '17', '18', '13', '8', '9', '4', '5'];2;['10', '16', '22', '28', '34', '40', '48', '54', '0'];['10', '16', '22', '28', '34', '42', '48', '54', '0']
7;7H;>;['1', '2', '3', '4', '5', '6', '7', '8', '9', '10', '11'];['21', '16', '11', '6', '1', '2', '3', '8', '13', '12', '7'];1;['0', '6', '12', '18', '24', '30', '36', '42', '48', '54', '0'];['0', '6', '12', '18', '24', '30', '36', '42', '48', '54', '0']
7;7R;<;['1', '2', '3', '4', '5', '6', '7', '8', '9', '10', '11'];['7', '12', '13', '8', '3', '2', '1', '6', '11', '16', '21'];1;['0', '6', '12', '18', '24', '30', '36', '42', '48', '54', '0'];['0', '6', '12', '18', '24', '30', '36', '42', '48', '54', '0']
9;9H;>;['1', '2', '3', '4', '5', '6', '7', '8', '9'];['24', '19', '14', '9', '8', '13', '18', '17', '22'];1;['12', '18', '24', '30', '36', '42', '48', '54', '0'];['12', '18', '24', '30', '36', '42', '48', '54', '0']
9;9R;<;['1', '2', '3', '4', '5', '6', '7', '8', '9'];['22', '17', '18', '13', '8', '9', '14', '19', '24'];1;['12', '18', '24', '30', '36', '42', '48', '54', '0'];['12', '18', '24', '30', '36', '42', '48', '54', '0']
